,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
638,2021-02-22,Soki,1114,275339,11816.0,310.0,Call of Duty: Warzone
639,2021-02-22,Apollo432,965,270527,6159.0,210.0,Call of Duty: Warzone
640,2021-02-25,WhosImmortal,691,262970,7026.0,1003.0,Call of Duty: Warzone
641,2021-02-07,ArcticViper,906,261911,2457.0,326.0,Call of Duty: Warzone
642,2021-02-26,Soki,980,259769,11593.0,313.0,Call of Duty: Warzone
643,2021-02-03,WhosImmortal,547,253639,6952.0,914.0,Call of Duty: Warzone
644,2021-02-22,WhosImmortal,763,203986,5807.0,606.0,Call of Duty: Warzone
645,2021-02-15,Soki,861,201354,11527.0,486.0,Call of Duty: Warzone
646,2021-02-19,Inkslasher,634,199571,7021.0,1054.0,Call of Duty: Warzone
647,2021-02-01,Soki,777,199349,9597.0,286.0,Call of Duty: Warzone
648,2021-02-09,Soki,729,195962,10353.0,373.0,Call of Duty: Warzone
649,2021-02-06,Soki,762,172535,8312.0,306.0,Call of Duty: Warzone
650,2021-02-21,Inkslasher,659,171622,7816.0,811.0,Call of Duty: Warzone
651,2021-02-28,ScereBro PSNU,481,166728,4298.0,945.0,Call of Duty: Warzone
652,2021-02-25,Inkslasher,590,164764,5588.0,690.0,Call of Duty: Warzone
653,2021-02-27,Jansn Benchmarks,549,164818,1620.0,202.0,Call of Duty: Warzone
654,2021-02-06,TCaptainX,1016,155706,2610.0,332.0,Call of Duty: Warzone
655,2021-02-16,GameClips,965,150927,2611.0,49.0,Call of Duty: Warzone
656,2021-02-07,WhosImmortal,545,134798,3931.0,411.0,Call of Duty: Warzone
657,2021-02-23,WhosImmortal,546,133468,4951.0,676.0,Call of Duty: Warzone
658,2021-02-11,Reborn Live,524,130891,17799.0,890.0,Call of Duty: Warzone
659,2021-02-10,Edu Avila,1739,128431,2816.0,804.0,Call of Duty: Warzone
660,2021-02-19,WhosImmortal,520,126420,4905.0,718.0,Call of Duty: Warzone
661,2021-02-16,Soki,811,125624,7262.0,290.0,Call of Duty: Warzone
662,2021-02-15,WhosImmortal,596,117463,4667.0,763.0,Call of Duty: Warzone
663,2021-02-25,WhosImmortal,629,115356,4796.0,722.0,Call of Duty: Warzone
664,2021-02-21,GTX 1050 Ti,774,114662,3059.0,145.0,Call of Duty: Warzone
665,2021-02-14,WhosImmortal,527,109352,5069.0,639.0,Call of Duty: Warzone
666,2021-02-02,NJR Clips,747,155475,2883.0,86.0,Call of Duty: Warzone
667,2021-02-17,WhosImmortal,550,106494,3503.0,491.0,Call of Duty: Warzone
668,2021-02-10,GTX 1050 Ti,837,106332,2693.0,177.0,Call of Duty: Warzone
669,2021-02-27,WhosImmortal,544,101232,4191.0,676.0,Call of Duty: Warzone
