,unnamed: 0.1,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
8369,573,2022-03-22,Skill Capped Challenger LoL Guides,740.0,421120,10054.0,1915.0,League of Legends
8370,574,2022-03-30,SkinSpotlights,816.0,416128,7485.0,688.0,League of Legends
8371,575,2022-03-13,ConnorDawg,884.0,417811,23991.0,493.0,League of Legends
8372,576,2022-03-07,Outside Joke,864.0,402409,17444.0,1391.0,League of Legends
8373,577,2022-03-23,League of Legends: Wild Rift,64.0,387917,12241.0,488.0,League of Legends
8374,578,2022-03-22,Remus,74.0,380862,10089.0,239.0,League of Legends
8375,579,2022-03-29,Ryscu,68.0,353183,12347.0,849.0,League of Legends
8376,580,2022-03-30,SkinSpotlights,380.0,351181,7554.0,652.0,League of Legends
8377,581,2022-03-29,Sykkuno,2103.0,353321,13420.0,312.0,League of Legends
8378,582,2022-03-01,SkinSpotlights,162.0,343834,4563.0,456.0,League of Legends
8379,583,2022-03-11,League of Legends: Wild Rift,949.0,342494,18610.0,4223.0,League of Legends
8380,584,2022-03-01,SkinSpotlights,173.0,334922,4415.0,541.0,League of Legends
8381,585,2022-03-29,Outside Joke,508.0,329236,13799.0,960.0,League of Legends
8382,586,2022-03-29,League of Legends: Wild Rift,86.0,315747,19433.0,1402.0,League of Legends
8383,587,2022-03-14,Outside Joke,684.0,288448,13160.0,369.0,League of Legends
8384,588,2022-03-11,Vars,1051.0,285633,11823.0,776.0,League of Legends
8385,589,2022-03-11,Skill Capped Challenger LoL Guides,1000.0,280313,7279.0,272.0,League of Legends
8386,590,2022-03-30,SkinSpotlights,606.0,278415,5782.0,664.0,League of Legends
8387,591,2022-03-12,Ryscu,113.0,271866,9030.0,555.0,League of Legends
8388,592,2022-03-24,Ryscu,76.0,262011,4627.0,197.0,League of Legends
8389,593,2022-03-22,Outside Joke,702.0,252449,12150.0,258.0,League of Legends
8390,594,2022-03-01,Carlie & Ange,1357.0,250950,10197.0,1286.0,League of Legends
8391,595,2022-03-25,Vars,980.0,244670,11202.0,628.0,League of Legends
8392,596,2022-03-10,Skill Capped Challenger LoL Guides,725.0,241729,6127.0,300.0,League of Legends
8393,597,2022-03-14,Teemo vs All,89.0,239834,12591.0,197.0,League of Legends
8394,598,2022-03-29,SkinSpotlights,133.0,231034,3557.0,238.0,League of Legends
8395,599,2022-03-02,Remus,100.0,226845,4460.0,265.0,League of Legends
8396,600,2022-03-01,Vars,893.0,214123,9474.0,1303.0,League of Legends
8397,601,2022-03-31,Skooch,2819.0,214451,10470.0,682.0,League of Legends
8398,602,2022-03-29,Vars,1040.0,212109,8758.0,929.0,League of Legends
8399,603,2022-03-30,Ryscu,86.0,202485,5651.0,302.0,League of Legends
8400,604,2022-03-21,Manute,64.0,201810,11802.0,901.0,League of Legends
8401,605,2022-03-02,YuNGFriz Edits,60.0,197552,8295.0,235.0,League of Legends
8402,606,2022-03-21,MisrraVB - League of Legends,2281.0,198249,7660.0,211.0,League of Legends
8403,607,2022-03-19,Emiru,24195.0,191396,4852.0,272.0,League of Legends
8404,608,2022-03-26,Nicolai,609.0,190484,4941.0,283.0,League of Legends
8405,609,2022-03-29,SkinSpotlights,133.0,181017,2629.0,147.0,League of Legends
8406,610,2022-03-17,ProGuides Challenger League of Legends Guides,841.0,179170,1741.0,205.0,League of Legends
8407,611,2022-03-29,SkinSpotlights,196.0,177207,4076.0,213.0,League of Legends
8408,612,2022-03-14,Exil,1677.0,169038,7552.0,522.0,League of Legends
8409,613,2022-03-02,Sp4zie,784.0,164635,6495.0,1104.0,League of Legends
8410,614,2022-03-08,elxokasTV,14336.0,167298,2731.0,76.0,League of Legends
8411,615,2022-03-30,Remus,91.0,160742,3380.0,229.0,League of Legends
8412,616,2022-03-24,Ubaman,1733.0,160254,8481.0,434.0,League of Legends
8413,617,2022-03-02,Zwag Xerath,1986.0,158635,5509.0,263.0,League of Legends
8414,618,2022-03-01,Teemo vs All,84.0,157004,10593.0,165.0,League of Legends
8415,619,2022-03-31,SkinSpotlights,60.0,156338,3190.0,213.0,League of Legends
8416,620,2022-03-21,RhokuTV,1604.0,162832,3388.0,118.0,League of Legends
8417,621,2022-03-17,Ryscu,137.0,147990,4256.0,444.0,League of Legends
8418,622,2022-03-24,SkinSpotlights,389.0,146081,1317.0,109.0,League of Legends
8419,623,2022-03-24,League of Legends: Wild Rift,128.0,143039,4657.0,388.0,League of Legends
8420,624,2022-03-16,Skill Capped Challenger LoL Guides,643.0,142186,4526.0,211.0,League of Legends
8421,625,2022-03-15,Vars,847.0,138968,6616.0,671.0,League of Legends
8422,626,2022-03-07,Necrit,777.0,136359,8388.0,440.0,League of Legends
8423,627,2022-03-18,Vars,922.0,136577,7092.0,390.0,League of Legends
8424,628,2022-03-19,NT Leo,656.0,134468,6139.0,402.0,League of Legends
8425,629,2022-03-22,Vars,894.0,132084,6198.0,403.0,League of Legends
8426,630,2022-03-10,Definitely Not Definitive - Games,1532.0,127328,4749.0,340.0,League of Legends
8427,631,2022-03-26,Ryscu,35.0,126235,3297.0,262.0,League of Legends
8428,632,2022-03-03,League of Legends Latinoamerica,660.0,125245,8829.0,410.0,League of Legends
8429,633,2022-03-24,SkinSpotlights,372.0,132112,1231.0,190.0,League of Legends
8430,634,2022-03-24,SkinSpotlights,207.0,123616,1271.0,139.0,League of Legends
8431,635,2022-03-21,ProGuides Challenger League of Legends Guides,686.0,120837,1750.0,206.0,League of Legends
8432,636,2022-04-09,BGM - Music For Content Creators ,286.0,1872412,20243.0,174.0,League of Legends
8433,637,2022-04-15,Layvee,643.0,1325734,64747.0,1130.0,League of Legends
8434,638,2022-04-21,LeeandLie (AmaLee),178.0,888066,34585.0,736.0,League of Legends
8435,639,2022-04-12,SkinSpotlights,155.0,818315,13145.0,1109.0,League of Legends
8436,640,2022-04-22,Nicolai,605.0,800898,17647.0,2160.0,League of Legends
8437,641,2022-04-20,Ryscu,68.0,653497,15514.0,1646.0,League of Legends
8438,642,2022-04-22,Protatomonster,912.0,558572,5530.0,61.0,League of Legends
8439,643,2022-04-18,Jenkins,660.0,514760,12592.0,773.0,League of Legends
8440,644,2022-04-12,SkinSpotlights,197.0,506139,11105.0,926.0,League of Legends
8441,645,2022-04-06,Skill Capped Challenger LoL Guides,1175.0,505809,13493.0,691.0,League of Legends
8442,646,2022-04-01,Eddie van der Meer,110.0,507153,36310.0,637.0,League of Legends
8443,647,2022-04-12,SkinSpotlights,185.0,461362,8121.0,497.0,League of Legends
8444,648,2022-04-12,SkinSpotlights,174.0,451360,7191.0,529.0,League of Legends
8445,649,2022-04-26,SkinSpotlights,206.0,399933,10503.0,1281.0,League of Legends
8446,650,2022-04-20,Remus,77.0,389871,5508.0,514.0,League of Legends
8447,651,2022-04-12,SkinSpotlights,181.0,365095,6708.0,845.0,League of Legends
8448,652,2022-04-26,SkinSpotlights,144.0,353879,5378.0,304.0,League of Legends
8449,653,2022-04-29,Lych,1752.0,340306,14066.0,1629.0,League of Legends
8450,654,2022-04-08,Remus,2590.0,335007,6177.0,648.0,League of Legends
8451,655,2022-04-26,SkinSpotlights,137.0,309304,7424.0,362.0,League of Legends
8452,656,2022-04-24,SkinSpotlights,506.0,303880,4958.0,496.0,League of Legends
8453,657,2022-04-26,SkinSpotlights,126.0,300488,3663.0,221.0,League of Legends
8454,658,2022-04-19,Rav,733.0,264151,11217.0,684.0,League of Legends
8455,659,2022-04-07,Skill Capped Challenger LoL Guides,790.0,246533,7957.0,394.0,League of Legends
8456,660,2022-04-26,SkinSpotlights,120.0,239229,3045.0,502.0,League of Legends
8457,661,2022-04-12,SkinSpotlights,158.0,238900,3505.0,591.0,League of Legends
8458,662,2022-04-26,SkinSpotlights,75.0,238448,4442.0,399.0,League of Legends
8459,663,2022-04-12,Vars,922.0,225589,9013.0,795.0,League of Legends
8460,664,2022-04-12,SkinSpotlights,137.0,230929,3234.0,154.0,League of Legends
8461,665,2022-04-10,SkinSpotlights,369.0,222906,2322.0,189.0,League of Legends
8462,666,2022-04-08,Asmongold Clips,35.0,215398,3849.0,760.0,League of Legends
8463,667,2022-04-10,SkinSpotlights,351.0,212378,2358.0,155.0,League of Legends
8464,668,2022-04-20,Terty,21.0,195951,3260.0,738.0,League of Legends
8465,669,2022-04-24,SkinSpotlights,342.0,200780,2666.0,187.0,League of Legends
8466,670,2022-04-19,Vars,931.0,191846,8458.0,703.0,League of Legends
8467,671,2022-04-27,Skill Capped Challenger LoL Guides,778.0,190933,5478.0,240.0,League of Legends
8468,672,2022-04-20,Manute,47.0,185621,9790.0,623.0,League of Legends
8469,673,2022-04-15,Vars,975.0,182620,9568.0,713.0,League of Legends
8470,674,2022-04-05,Ryscu,48.0,169727,5664.0,299.0,League of Legends
8471,675,2022-04-24,SkinSpotlights,339.0,170586,1933.0,351.0,League of Legends
8472,676,2022-04-17,LLA,23290.0,162347,2798.0,80.0,League of Legends
8473,677,2022-04-26,SkinSpotlights,146.0,163093,2624.0,163.0,League of Legends
8474,678,2022-04-05,Zhonysen,271.0,158111,11843.0,351.0,League of Legends
8475,679,2022-04-20,ProGuides Challenger League of Legends Guides,717.0,151299,3344.0,683.0,League of Legends
8476,680,2022-04-22,Ryscu,33.0,147304,3682.0,418.0,League of Legends
8477,681,2022-04-24,SkinSpotlights,374.0,148370,1851.0,174.0,League of Legends
8478,682,2022-04-22,Teemo vs All,84.0,143375,8250.0,99.0,League of Legends
8479,683,2022-04-14,League of Legends Latinoamerica,953.0,142753,9394.0,466.0,League of Legends
8480,684,2022-04-20,MissFortuneDaBes,752.0,143518,5918.0,295.0,League of Legends
8481,685,2022-04-28,League of Legends Latinoamerica,972.0,138874,8892.0,519.0,League of Legends
8482,686,2022-04-24,SkinSpotlights,422.0,143741,1467.0,113.0,League of Legends
8483,687,2022-04-25,Skill Capped Challenger LoL Guides,886.0,129998,2410.0,180.0,League of Legends
8484,688,2022-04-22,Manute,296.0,128903,4565.0,263.0,League of Legends
8485,689,2022-04-30,NT Leo,609.0,129043,6365.0,202.0,League of Legends
8486,690,2022-04-15,Ubaman,1005.0,126587,5483.0,89.0,League of Legends
8487,691,2022-04-06,ProGuides Challenger League of Legends Guides,601.0,125615,2805.0,549.0,League of Legends
8488,692,2022-04-24,SkinSpotlights,246.0,125910,1578.0,188.0,League of Legends
8489,693,2022-04-10,SkinSpotlights,312.0,124142,1348.0,79.0,League of Legends
8490,694,2022-04-10,SkinSpotlights,309.0,120640,1192.0,41.0,League of Legends
8491,695,2022-04-01,Vars,753.0,116867,10442.0,961.0,League of Legends
8492,696,2022-04-11,Skill Capped Challenger LoL Guides,887.0,115414,1976.0,179.0,League of Legends
